id,name,monthly_listens,hometown_id,age,net_worth,most_popular_song,interest_id
1,Taylor Swift,42961049,3,31,"400,000,000",Shake It Off,7
2,HAIM,5493993,8,35,"5,000,000",The Wire,7
3,Amy Winehouse,11016435,9,27,"5,000,000",Back to Black,7
4,Florence + the Machine,10407322,9,34,"28,000,000",Dog Days are Over,6
5,Chase Atlantic,6279620,10,24,"7,300,000",Friends,8
6,Rico Nasty,4438180,11,24,"1,000,000",Smack a Bitch,5
7,Kimbra,421585,12,31,"3,000,000",Settle Down,10
8,Clairo,11280202,13,22,"250,000",Sofia,6
9,Weyes Blood,1231624,14,32,"3,000,000",Andromeda,1
10,Ariana Grande,63177247,8,27,"180,000,000",7 Rings,9
11,Remi Wolf,3860117,15,25,"3,000,000",Photo ID,8
12,Lana Del Rey,20133056,16,35,"30,000,000",Young and Beautiful,5
13,Phoebe Bridgers,4837482,8,26,"3,000,000",Motion Sickness,3
15,Shygirl,938922,9,28,"3,000,000",Uckers,8
16,Harmonious Hoos,112,7,10,"5,000,000",Location,9
17,Miley Cyrus,41867605,17,28,"160,000,000",Party In The U.S.A.,2
18,Lucius,727248,18,29,"3,000,000",Two of Us On the Run,10
19,Mac DeMarco,6321507,19,31,"3,000,000",Chamber of Reflection,7
20,PSY,2479754,20,43,"60,000,000",Gangnam Style,4
21,Bazzi,15561816,21,23,"4,000,000",Mine,4
22,Giveon,48249265,22,26,"800,000",Heartbreak Anniversary,9
23,Kanye West,35943357,13,43,"1,800,000,000",Stronger,4
24,Hippo Campus,2744585,23,27,"21,000,000",Buttercup,8
25,Daniel Caesar,43465861,24,26,"4,000,000",Best Part,4
26,Justin Bieber,73581929,25,27,"285,000,000",Love Yourself,4
27,Lauv,22041520,26,26,"1,500,000",I Like Me Better,11
28,Lennon Stella,9947850,25,21,"3,000,000",Takeaway,9
29,Blink 182,12663774,28,49,"200,000,000",All the Small Things,4
30,Paramore,13089479,27,32,"40,000,000",Misery Business,4
31,Coldplay,45445380,9,44,"475,000,000",Something Just Like This,2
32,Avril Lavigne ,14946759,29,36,"60,000,000",Complicated,8
33,Grimes,3940576,30,33,"3,000,000",Oblivion,5